Name,Address,City,State,ZipCode,Grade
Marian Medical Center,1400 E. Church Street,Santa Maria,CA,93454-5906,A
NorthBay VacaValley Hospital,1000 Nut Tree Road,Vacaville,CA,95687,B
Kaiser Foundation Hospital - Antioch,4501 Sand Creek Road,Antioch,CA,94531-8679,C
Sutter Delta Medical Center,3901 Lone Tree Way,Antioch,CA,94509-6253,C
Twin Cities Community Hospital,1100 Las Tablas Road,Templeton,CA,93465-9704,A
French Hospital Medical Center,1911 Johnson Avenue,San Luis Obispo,CA,93401-4131,A
Arroyo Grande Community Hospital,345 S. Halcyon Road,Arroyo Grande,CA,93420-3899,B
Sierra Vista Regional Medical Center,1010 Murray Avenue,San Luis Obispo,CA,93405-8800,A
NorthBay Medical Center,1200 B. Gale Wilson Boulevard,Fairfield,CA,94533-3552,C
Lompoc Valley Medical Center,1515 E. Ocean Avenue,Lompoc,CA,93436,C
Hazel Hawkins Memorial Hospital,911 Sunset Drive,Hollister,CA,95023-5695,B
ValleyCare Health System,5555 W. Las Positas Boulevard,Pleasanton,CA,94588-4000,C
St. Louise Regional Hospital,9400 No Name Uno,Gilroy,CA,95020-3528,C
John Muir Medical Center Concord Campus,2540 East Street,Concord,CA,94520,C
San Ramon Regional Medical Center,6001 Norris Canyon Road,San Ramon,CA,94583-5400,B
John Muir Medical Center Walnut Creek Campus,1601 Ygnacio Valley Road,Walnut Creek,CA,94598-3194,C
Kaiser Foundation Hospital - Walnut Creek,1425 S. Main Street,Walnut Creek,CA,94596-5318,C
Contra Costa Regional Medical Center,2500 Alhambra Avenue,Martinez,CA,94553-3156,C
Sutter Coast Hospital,800 East Washington Blvd.,Crescent City,CA,95531-8359,C
Queen of the Valley Medical Center,1000 Trancas Street,Napa,CA,94558-2906,B
Regional Medical Center of San Jose,225 N. Jackson Avenue,San Jose,CA,95116-1691,C
Kaiser Foundation Hospital - San Jose,250 Hospital Parkway,San Jose,CA,95119-1103,C
Sutter Solano Medical Center,300 Hospital Drive,Vallejo,CA,94589-2517,B
Kaiser Foundation Hospital - Vallejo,975 Sereno Drive,Vallejo,CA,94589-2441,A
Kaiser Foundation Hospital - Fremont,39400 Paseo Padre Parkway,Fremont,CA,94538-2310,A
St. Helena Hospital Napa Valley,10 Woodland Road,St. Helena,CA,94574,D
Eden Medical Center,20103 Lake Chabot Road,Castro Valley,CA,94546-5341,C
Natividad Medical Center,1441 Constitution Boulevard,Salinas,CA,93906-3100,A
O'Connor Hospital,2105 Forest Avenue,San Jose,CA,95128-1471,C
Santa Clara Valley Medical Center,751 S. Bascom Avenue,San Jose,CA,95128-2604,D
St. Rose Hospital,27200 Calaroga Avenue,Hayward,CA,94545-4383,D
San Leandro Hospital,13855 E. 14th Street,San Leandro,CA,94578,D
Salinas Valley Memorial Healthcare System,450 E. Romie Lane,Salinas,CA,93901-4098,A
Watsonville Community Hospital,75 Nielson Street,Watsonville,CA,95076-2468,C
Good Samaritan Hospital of San Jose,2425 Samaritan Drive,San Jose,CA,95124-3997,B
Kaiser Permanente San Leandro Medical Center,2500 Merced Street,San Leandro,CA,94577-4201,A
Kaiser Foundation Hospital - Santa Clara,700 Lawrence Expressway,Santa Clara,CA,95051-5173,B
Sonoma Valley Hospital,347 Andrieux Street,Sonoma,CA,95476-6811,C
El Camino Hospital Los Gatos,815 Pollard Road,Los Gatos,CA,95032,A
Alta Bates Summit Medical Center Alta Bates Campus,2450 Ashby Avenue,Berkeley,CA,94705-2067,C
Alameda County Medical Center Highland Hospital,1411 E. 31st Street,Oakland,CA,94602,D
Kaiser Foundation Hospital - Oakland,3600 Broadway,Oakland,CA,94611-5693,B
Alta Bates Summit Medical Center Summit Campus,350 Hawthorne Avenue,Oakland,CA,94609-3100,C
Alameda Hospital,2070 Clinton Avenue,Alameda,CA,94501-4397,D
El Camino Hospital,2500 Grant Road,Mountain View,CA,94040,A
Kaiser Foundation Hospital - Richmond,901 Nevin Avenue,Richmond,CA,94801-3143,B
Stanford Health Care,300 Pasteur Drive,Stanford,CA,94305,B
Dominican Hospital,1555 Soquel Drive,Santa Cruz,CA,95065-1794,A
Kaiser Foundation Hospital - Redwood City,1100 Veterans Boulevard,Redwood City,CA,94063-2037,B
Santa Rosa Memorial Hospital,1165 Montgomery Drive,Santa Rosa,CA,95405-4897,C
Kaiser Foundation Hospital - Santa Rosa,401 Bicentennial Way,Santa Rosa,CA,95403-2149,A
Sutter Santa Rosa Regional Hospital,30 Mark West Springs Rd,Santa Rosa,CA,95403,A
Petaluma Valley Hospital,400 N. McDowell Boulevard,Petaluma,CA,94954-2369,A
Sequoia Hospital,170 Alameda De Las Pulgas,Redwood City,CA,94062-2799,A
Chinese Hospital,845 Jackson Street,San Francisco,CA,94133-4899,A
Novato Community Hospital,180 Rowland Way,Novato,CA,94945-5009,A
Saint Francis Memorial Hospital,900 Hyde Street,San Francisco,CA,94109-4899,A
San Francisco General Hospital Medical Center,1001 Potrero Avenue,San Francisco,CA,94110-3594,D
Mad River Community Hospital,3800 Janes Road,Arcata,CA,95521-4788,C
San Mateo Medical Center,222 W. 39th Avenue,San Mateo,CA,94403-4398,C
California Pacific Medical Center - Pacific Campus,2333 Buchanan Street,San Francisco,CA,94115-1925,B
St. Luke's Hospital of San Francisco,3555 Cesar Chavez Street,San Francisco,CA,94110-4490,C
California Pacific Medical Center - Davies Campus,Castro Street and Duboce Street,San Francisco,CA,94114,C
Kaiser Foundation Hospital - San Francisco,2425 Geary Boulevard,San Francisco,CA,94115-3358,A
Kaiser Foundation Hospital - San Rafael,99 Montecillo Road,San Rafael,CA,94903-3308,A
Marin General Hospital,250 Bon Air Road,Greenbrae,CA,94904-1784,A
California Pacific Medical Center - California Campus,3700 California Street,San Francisco,CA,94118,A
St. Mary's Medical Center,450 Stanyan Street,San Francisco,CA,94117-1079,A
UCSF Medical Center / Moffitt-Long Hospitals,505 Parnassus Avenue,San Francisco,CA,94143-0296,A
Mills-Peninsula Health Services,1501 Trousdale Drive,Burlingame,CA,94010-3282,A
Community Hospital of the Monterey Peninsula,23625 Holman Highway,Monterey,CA,93940,B
Ukiah Valley Medical Center,275 Hospital Drive,Ukiah,CA,95482-4531,A
Kaiser Foundation Hospital - South San Francisco,1200 El Camino Real,South San Francisco,CA,94080-3299,A
Seton Medical Center,1900 Sullivan Avenue,Daly City,CA,94015-2229,C
St. Joseph Hospital of Eureka,2700 Dolbeer Street,Eureka,CA,95501-4799,D
Seton Medical Center Coastside,600 Marine Boulevard,Moss Beach,CA,94038,C
Sterling Regional MedCenter,615 Fairhurst Street,Sterling,CO,80751-0500,A
Colorado Plains Medical Center,1000 Lincoln Street,Fort Morgan,CO,80701-3298,A
Arkansas Valley Regional Medical Center,1100 Carson Avenue,La Junta,CO,81050-2799,B
North Colorado Medical Center,1801 16th Street,Greeley,CO,80631,B
Platte Valley Medical Center,1600 Prairie Center Parkway,Brighton,CO,80601-4006,B
Centura Parker Adventist Hospital,9395 Crown Crest Blvd,Parker,CO,80138,B
University of Colorado Hospital,12605 E. 16th Avenue,Aurora,CO,80045-2545,B
Medical Center of Aurora,1501 S. Potomac Street,Aurora,CO,80012-5499,A
Medical Center of the Rockies,2500 Rocky Mountain Avenue,Loveland,CO,80538,B
Poudre Valley Hospital,1024 S. Lemay Avenue,Fort Collins,CO,80524-3998,A
Centura Health-St. Francis Medical Center,6001 E. Woodmen Rd,Colorado Springs,CO,80923,B
McKee Medical Center,2000 Boise Avenue,Loveland,CO,80538-4281,B
Sky Ridge Medical Center,10101 RidgeGate Parkway,Lone Tree,CO,80124,A
Parkview Medical Center,400 W. 16th Street,Pueblo,CO,81003-2781,C
Rose Medical Center,4567 E. 9th Avenue,Denver,CO,80220-3941,A
Centura Health-St. Anthony North Hospital,14300 Orchard Parkway,Westminster,CO,80023,B
Centura Health-St. Mary Corwin Medical Center,1008 Minnequa Avenue,Pueblo,CO,81004-3798,B
North Suburban Medical Center,9191 Grant Street,Thornton,CO,80229-4341,A
Centura Castle Rock Adventist Hospital,2350 Meadows Blvd.,Castle Rock,CO,80109,A
Presbyterian-St. Luke's Medical Center,1719 E. 19th Avenue,Denver,CO,80218-1281,A
Saint Joseph Hospital,1375 East 19th Avenue,Denver,CO,80218-1191,A
Centura Health-Porter Adventist Hospital,2525 S. Downing Street,Denver,CO,80210-5876,A
Denver Health Medical Center,777 Bannock Street,Denver,CO,80204-4507,C
UCHealth Memorial Hospital Central,1400 E. Boulder Street,Colorado Springs,CO,80909-5599,C
Swedish Medical Center,501 E. Hampden Avenue,Englewood,CO,80113,B
Centura Health-Penrose Hospital,2222 N. Nevada Avenue,Colorado Springs,CO,80907-6799,C
Centura Health-Litteton Adventist Hospital,7700 S. Broadway,Littleton,CO,80122-2628,B
Longmont United Hospital,1950 W. Mountain View Avenue,Longmont,CO,80501-3162,B
Good Samaritan Medical Center,200 Exempla Circle,Lafayette,CO,80026,C
Lutheran Medical Center,8300 W. 38th Avenue,Wheat Ridge,CO,80033-6005,B
Centura Health-Avista Adventist Hospital,100 Health Park Drive,Louisville,CO,80027-9583,B
Centura Health-St. Anthony Hospital,11600 West 2nd Place,Lakewood,CO,80228,C
Boulder Community Foothills Hospital,4747 Arapahoe Ave,Boulder,CO,80303,C
Centura Health-St. Thomas More Hospital,1338 Phay Avenue,Canon City,CO,81212-2221,B
St. Anthony Summit Medical Center,340 Peak One Drive,Frisco,CO,80443,A
Lutheran Hospital Association of the San Luis Valley,106 Blanca Avenue,Alamosa,CO,81101-2393,C
Yampa Valley Medical Center,1024 Central Park Drive,Steamboat Springs,CO,80487-5010,A
Valley View Hospital,1906 Blake Avenue,Glenwood Springs,CO,81601-4259,C
Montrose Memorial Hospital,800 S. Third Street,Montrose,CO,81401-4291,C
Delta County Memorial Hospital,1501 E. 3rd Street,Delta,CO,81416-2297,C
Mercy Regional Medical Center,1010 Three Springs Boulevard,Durango,CO,81301-5089,A
Community Hospital,2021 N. 12th Street,Grand Junction,CO,81501-2999,C
St. Mary's Hospital and Medical Center,2635 N. 7th Street,Grand Junction,CO,81501-8209,B
Day Kimball Hospital,320 Pomfret Street,Putnam,CT,06260-0901,B
The William W. Backus Hospital,326 Washington Street,Norwich,CT,06360-2733,B
Windham Hospital,112 Mansfield Avenue,Willimantic,CT,06226-2040,C
Johnson Memorial Medical Center,201 Chestnut Hill Road,Stafford Springs,CT,06076-4005,C
Rockville General Hospital,31 Union Street,Rockville,CT,06066-3160,C
Manchester Memorial Hospital,71 Haynes Street,Manchester,CT,06040-4188,D
Middlesex Hospital,28 Crescent Street,Middletown,CT,06457-3650,B
Hartford Hospital,80 Seymour Street,Hartford,CT,06102-5037,C
St. Francis Hospital &amp; Medical Center,114 Woodland Street,Hartford,CT,06105-1208,A
MidState Medical Center,435 Lewis Avenue,Meriden,CT,06451-2101,C
The Hospital of Central Connecticut,100 Grand Street,New Britain,CT,06052-2017,C
"University of Connecticut Health Center, John Dempsey Hospital",263 Farmington Avenue,Farmington,CT,06032-3802,A
Yale-New Haven Hospital,20 York Street,New Haven,CT,06510-3202,C
Yale-New Haven Hospital Saint Raphael Campus,1450 Chapel Street,New Haven,CT,06511-1450,C
Bristol Hospital,41 Brewster Road,Bristol,CT,06010,B
Milford Hospital,300 Seaside Avenue,Milford,CT,06460-4603,C
Griffin Hospital,130 Division Street,Derby,CT,06418-1326,A
Saint Mary's Hospital,56 Franklin Street,Waterbury,CT,06706-1281,D
Waterbury Hospital,64 Robbins Street,Waterbury,CT,06708-2600,C
Bridgeport Hospital,267 Grant Street,Bridgeport,CT,06610-2805,C
St. Vincent's Medical Center,2800 Main Street,Bridgeport,CT,06606-4292,B
Charlotte Hungerford Hospital,540 Litchfield Street,Torrington,CT,06790-0988,B
Norwalk Hospital,34 Maple Street,Norwalk,CT,06850-3894,C
Danbury Hospital,24 Hospital Avenue,Danbury,CT,06810-6099,D
Stamford Health,1 Hospital Plaza P.O. Box 9317,Stamford,CT,06904-9317,A
Greenwich Hospital,5 Perryridge Road,Greenwich,CT,06830-4697,A
Sharon Hospital,50 Hospital Hill Road,Sharon,CT,06069-0789,A
Not For Profit Hospital Corporation,1310 Southern Avenue SE,Washington,DC,20032-4699,F
Providence Hospital of Washington,1150 Varnum Street NE,Washington,DC,20017-2104,D
MedStar Washington Hospital Center,110 Irving Street NW,Washington,DC,20010-2975,D
Howard University Hospital,2041 Georgia Avenue NW,Washington,DC,20060-0002,D
George Washington University Hospital,900 23rd Street NW,Washington,DC,20037-2377,D
MedStar Georgetown University Hospital,3800 Reservoir Road NW,Washington,DC,20007-2197,C
Sibley Memorial Hospital,5255 Loughboro Road NW,Washington,DC,20016-2695,B
Beebe Healthcare,424 Savannah Road,Lewes,DE,19958-0226,B
Nanticoke Memorial Hospital,801 Middleford Road,Seaford,DE,19973-3698,B
Bayhealth Kent General,640 South State Street,Dover,DE,19901-3597,C
Christiana Care Health System - Wilmington Hospital,501 W. 14th St.,Wilmington,DE,19801,B
St. Francis Hospital,701 North Clayton Street,Wilmington,DE,19805-0500,C
Christiana Care Health System - Christiana Hospital,4755 Ogletown-Stanton Road,Newark,DE,19718-0002,B
Bethesda Hospital East,2815 S. Seacrest Boulevard,Boynton Beach,FL,33435-7995,B
Good Samaritan Medical Center,1309 N. Flagler Drive,West Palm Beach,FL,33401-3499,C
Mount Sinai Medical Center,4300 Alton Road,Miami Beach,FL,33140-2800,B
St. Mary's Medical Center,901 45th Street,West Palm Beach,FL,33407-2495,B
Broward Health Imperial Point,6401 N. Federal Highway,Fort Lauderdale,FL,33308-1495,C
Boca Raton Regional Hospital,800 Meadows Road,Boca Raton,FL,33486-2368,C
Holy Cross Hospital,4725 N. Federal Highway,Fort Lauderdale,FL,33308-4603,B
Aventura Hospital and Medical Center,20900 Biscayne Boulevard,Aventura,FL,33180-1407,B
JFK Medical Center,5301 S. Congress Avenue,Atlantis,FL,33462-1197,C
Broward Health North,201 E. Sample Road,Deerfield Beach,FL,33064-3502,C
Broward Health Medical Center,1600 S. Andrews Avenue,Fort Lauderdale,FL,33316-2510,C
JFK Medical Center North Campus,2201 45th Street,West Palm Beach,FL,33407-2069,B
Palm Beach Gardens Medical Center,3360 Burns Road,Palm Beach Gardens,FL,33410-4304,B
Delray Medical Center,5352 Linton Boulevard,Delray Beach,FL,33484-6580,B
Jupiter Medical Center,1210 S. Old Dixie Highway,Jupiter,FL,33458-7299,A
Memorial Regional Hospital South,3600 Washington Street,Hollywood,FL,33021-8216,C
Memorial Regional Hospital,3501 Johnson Street,Hollywood,FL,33021-5421,C
Mercy Hospital,3663 S. Miami Avenue,Miami,FL,33133-4237,A
Jackson Memorial Hospital,1611 NW 12th Avenue,Miami,FL,33136-1094,C
Jackson North Medical Center,160 NW 170th Street,North Miami Beach,FL,33169,F
University of Miami Hospital,1400 NW 12th Avenue,Miami,FL,33136-1003,C
North Shore Medical Center,1100 NW 95th Street,Miami,FL,33150-2098,B
Plantation General Hospital,401 NW 42nd Avenue,Plantation,FL,33317-2882,C
Northwest Medical Center,2801 N. State Road 7,Margate,FL,33063,A
West Boca Medical Center,21644 State Road 7,Boca Raton,FL,33428-1899,A
Florida Medical Center,5000 W. Oakland Park Boulevard,Ft. Lauderdale,FL,33313,C
Coral Gables Hospital,3100 Douglas Road,Coral Gables,FL,33134-6990,A
Bethesda Hospital West,9655 West Boynton Beach Blvd,Boynton Beach,FL,33472,C
Memorial Hospital Pembroke,7800 Sheridan Street,Pembroke Pines,FL,33024-2536,C
Baptist Health South Florida Doctors Hospital,5000 University Drive,Coral Gables,FL,33146-2094,A
Hialeah Hospital,651 E. 25th Street,Hialeah,FL,33013-3878,B
Wellington Regional Medical Center,10101 Forest Hill Boulevard,Wellington,FL,33414-6199,C
Larkin Community Hospital,7031 SW 62nd Avenue,South Miami,FL,33143-4781,A
Baptist Health South Florida South Miami Hospital,6200 SW 73rd Street,South Miami,FL,33143-9990,A
Westside Regional Medical Center,8201 W. Broward Blvd,Plantation,FL,33324-9937,B
University Hospital and Medical Center,7201 N. University Drive,Tamarac,FL,33321-2996,C
Broward Health Coral Springs,3000 Coral Hills Drive,Coral Springs,FL,33065,C
Westchester General Hospital,2500 SW 75th Avenue,Miami,FL,33155-9947,C
Palms West Hospital,13001 Southern Boulevard,Loxahatchee,FL,33470-1150,C
Memorial Hospital West,703 N. Flamingo Road,Pembroke Pines,FL,33028-1014,C
Jackson South Community Hospital,9333 SW 152nd Street,Miami,FL,33157,D
Baptist Health South Florida Baptist Hospital of Miami,8900 N. Kendall Drive,Miami,FL,33176-2197,B
Palmetto General Hospital,2001 W. 68th Street,Hialeah,FL,33016-1898,A
Martin Hospital South,2100 Southeast Salerno Road,Stuart,FL,34997,C
Martin Medical Center,200 Southeast Hospital Avenue,Stuart,FL,34994,C
Kendall Regional Medical Center,11750 SW 40th Street,Miami,FL,33175-3530,B
Cleveland Clinic Florida,2950 Cleveland Clinic Blvd.,Weston,FL,33331-3602,B
Memorial Hospital Miramar,1901 SW 172nd Avenue,Miramar,FL,33029,A
Baptist Health South Florida Homestead Hospital,975 Baptist Way,Homestead,FL,33033-7600,A
St. Lucie Medical Center,1800 SE TIFFANY AVENUE,Port St Lucie,FL,34952-7580,B
Baptist Health South Florida West Kendall Baptist Hospital,9555 SW 162 Ave,Miami,FL,33196,A
Lawnwood Regional Medical Center &amp; Heart Institute,1700 South 23rd Street,Fort Pierce,FL,34950-0188,C
Tradition Medical Center,10000 SW Innovation Way,Port St. Lucie,FL,34987,C
Indian River Medical Center,1000 36th Street,Vero Beach,FL,32960-6592,B
Sebastian River Medical Center,13695 US Highway 1,Sebastian,FL,32958-3230,D
Lakeside Medical Center,39200 Hooker Highway,Belle Glade,FL,33430-4911,A
Palm Bay Hospital,1425 Malabar Road NE,Palm Bay,FL,32907,A
Holmes Regional Medical Center,1350 S. Hickory Street,Melbourne,FL,32901-3276,B
Cape Canaveral Hospital,701 W. Cocoa Beach Causeway,Cocoa Beach,FL,32931,A
Wuesthoff Medical Center - Melbourne,250 N. Wickham Road,Melbourne,FL,32935,F
"Health First, Viera Hospital",8745 N. Wickham Rd,Melbourne,FL,32940,A
Wuesthoff Medical Center - Rockledge,110 Longwood Avenue,Rockledge,FL,32955-2887,C
Raulerson Hospital,1796 HIGHWAY 441 North,Okeechobee,FL,34972,B
Parrish Medical Center,951 N. Washington Avenue,Titusville,FL,32796-2163,A
Florida Hospital New Smyrna,401 Palmetto Street,New Smyrna Beach,FL,32168-7399,C
Halifax Health Medical Center - Port Orange,1041 Dunlawton Ave.,Port Orange,FL,32127,B
Halifax Health Medical Center,303 N. Clyde Morris Boulevard,Daytona Beach,FL,32114-2700,B
Florida Hospital Memorial Medical Center,301 Memorial Medical Parkway,Daytona Beach,FL,32117,A
Florida Hospital Flagler,60 Memorial Medical Parkway,Palm Coast,FL,32164,B
Florida Hospital Heartland Medical Center Lake Placid,1210 US Hwy 27N,Lake Placid,FL,33852,A
St. Cloud Regional Medical Center,2906 17th Street,St. Cloud,FL,34769-6099,D
Florida Hospital East Orlando,7727 Lake Underhill Road,Orlando,FL,32822,B
Central Florida Regional Hospital,1401 West Seminole Boulevard,Sanford,FL,32771-6764,B
Florida Hospital Fish Memorial,1055 Saxon Boulevard,Orange City,FL,32763-8468,A
Winter Park Memorial Hospital,200 N. Lakemont Avenue,Winter Park,FL,32792,A
Highlands Regional Medical Center,3600 South Highlands Avenue,Sebring,FL,33870-5495,D
Florida Hospital DeLand,701 W. Plymouth Avenue,DeLand,FL,32720,A
Orlando Regional South Seminole Hospital,555 West State Road 434,Longwood,FL,32750,A
Florida Hospital Orlando,601 E. Rollins Street,Orlando,FL,32803,A
Orlando Regional Medical Center,52 West Underwood St.,Orlando,FL,32806-2093,B
Florida Hospital Altamonte,601 East Altamonte Drive,Altamonte Springs,FL,32701,B
Florida Hospital Kissimmee,2450 North Orange Blossom Trail,Kissimmee,FL,34744,B
Osceola Regional Medical Center,700 W. Oak Street,Kissimmee,FL,34741-4996,C
Flagler Hospital,400 Health Park Boulevard,Saint Augustine,FL,32086-5779,C
Florida Hospital Heartland Medical Center,4200 Sun n Lake Blvd,Sebring,FL,33872-1986,B
Poinciana Medical Center,325 Cypress Parkway,Kissimmee,FL,34758,B
Dr. P. Phillips Hospital,9400 Turkey Lake Rd,Orlando,FL,32819,A
Lehigh Regional Medical Center,1500 Lee Boulevard,Lehigh Acres,FL,33936-4897,F
Lake Wales Medical Center,410 S. 11th Street,Lake Wales,FL,33853-4256,D
Florida Hospital Apopka,201 North Park Avenue,Apopka,FL,32703,B
Florida Hospital Celebration Health,400 Celebration Place,Celebration,FL,34747,B
Health Central Hospital,10000 W. Colonial Drive,Ocoee,FL,34761-3499,B
Baptist Medical Center Beaches,1350 13th Avenue South,Jacksonville Beach,FL,32250-3205,C
Mayo Clinic Hospital,4500 San Pablo Road,Jacksonville,FL,32224,A
Heart of Florida Regional Medical Center,40100 US Highway 27,Davenport,FL,33837-5906,D
NCH North Naples Hospital,11190 Healthpark Blvd,Naples,FL,34110,B
NCH Baker Hospital,350 Seventh Street North,Naples,FL,34102-4746,B
Baptist Medical Center Nassau,1250 South 18th Street,Fernandina Beach,FL,32034-3098,B
Baptist Medical Center South,14550 OLD ST. AUGUSTINE RD,Jacksonville,FL,32258,C
Winter Haven Hospital,200 Avenue F NE,Winter Haven,FL,33881-4193,C
Gulf Coast Medical Center,13681 Doctor's Way,Fort Myers,FL,33912-4300,B
South Lake Hospital,1900 Don Wickham Drive,Clermont,FL,34711-2787,C
St. Vincent's Medical Center Southside,4201 Belfort Rd,Jacksonville,FL,32216,B
Lee Memorial Hospital,2776 Cleveland Avenue,Fort Myers,FL,33901-5855,B
Florida Hospital Waterman,1000 Waterman Way,Tavares,FL,32778-5266,A
Memorial Hospital Jacksonville,3625 UNIVERSITY BLVD SOUTH,Jacksonville,FL,32216-4240,C
Healthpark Medical Center,9981 S. HealthPark Drive,Fort Myers,FL,33908,B
Putnam Community Medical Center,611 Zeagler Dr,Palatka,FL,32177,C
Cape Coral Hospital,636 Del Prado Blvd,Cape Coral,FL,33990-2695,A
Baptist Medical Center Jacksonville,800 Prudential Drive,Jacksonville,FL,32207-8203,B
UF Health Jacksonville,655 West Eighth Street,Jacksonville,FL,32209-6595,D
St. Vincent's Medical Center Riverside,1 Shircliff Way,Jacksonville,FL,32204-2982,B
Orange Park Medical Center,2001 KINGSLEY AVE,Orange Park,FL,32073-5156,A
Leesburg Regional Medical Center,600 E. Dixie Avenue,Leesburg,FL,34748-5999,C
Lakeland Regional Medical Center,1324 Lakeland Hills Boulevard,Lakeland,FL,33805-4543,B
Bayfront Health Punta Gorda,809 East Marion Avenue,Punta Gorda,FL,33950-3898,D
St. Vincent's Medical Center Clay County,1670 St. Vincent's Way,Middleburg,FL,32068,C
Bayfront Health Port Charlotte,2500 Harbor Boulevard,Port Charlotte,FL,33952-5396,D
Fawcett Memorial Hospital,21298 OLEAN BLVD,Port Charlotte,FL,33952-6765,B
The Villages Regional Hospital,1451 El Camino Real,The Villages,FL,32159,B
South Florida Baptist Hospital,301 North Alexander Street,Plant City,FL,33563-9058,B
Florida Hospital Zephyrhills,7050 Gall Blvd,Zephyrhills,FL,33541-1399,B
Ocala Regional Medical Center,1431 SW FIRST AVE,Ocala,FL,34471,B
Munroe Regional Medical Center,1500 SW 1st Avenue,Ocala,FL,34471-4059,D
Englewood Community Hospital,700 Medical Blvd,Englewood,FL,34223-3976,A
BRANDON REGIONAL HOSPITAL,119 OAKFIELD DR,BRANDON,FL,33511-5799,B
West Marion Community Hospital,4600 SW 46th Court,Ocala,FL,34474,B
SOUTH BAY HOSPITAL,4016 Sun City Center Blvd.,Sun City Center,FL,33573-5256,C
Florida Hospital Wesley Chapel,2600 BRUCE B DOWNS BLVD,WESLEY CHAPEL,FL,33544,A
Venice Regional Bayfront Health,540 The Rialto,Venice,FL,34285-2900,D
Citrus Memorial Hospital,502 West Highland Boulevard,Inverness,FL,34452,C
DOCTORS HOSPITAL OF SARASOTA,5731 BEE RIDGE ROAD,SARASOTA,FL,34233-5056,A
Florida Hospital Tampa,3100 East Fletcher Avenue,Tampa,FL,33613-4688,B
Tampa General Hospital,1 Tampa General Circle,Tampa,FL,33606-3508,C
Sarasota Memorial Hospital,1700 South Tamiami Trail,Sarasota,FL,34239-3555,A
Memorial Hospital of Tampa,2901 Swann Avenue,Tampa,FL,33609-4057,C
St. Joseph's Hospital,3001 W Dr. Martin Luther King Jr. Blvd,Tampa,FL,33607-6387,B
UF Health Shands Hospital,1600 SW Archer Road,Gainesville,FL,32608,B
Florida Hospital Carrollwood,7171 North Dale Mabry Highway,Tampa,FL,33614-2699,A
St. Joseph's Hospital North,4211 VAN DYKE RD,LUTZ,FL,33558,B
Manatee Memorial Hospital,206 Second Street East,Bradenton,FL,34208-1000,D
North Florida Regional Medical Center,6500 NEWBERRY ROAD,Gainesville,FL,32605-4392,B
Tampa Community Hospital,6001 Webb Road,Tampa,FL,33615-3291,C
BLAKE MEDICAL CENTER,2020 59TH ST W,BRADENTON,FL,34209-4669,C
Oak Hill Hospital,"11375 CORTEZ BLVD, STATE ROAD 50",BROOKSVILLE,FL,34613,B
St. Anthony's Hospital,1200 Seventh Avenue North,Saint Petersburg,FL,33705-1388,C
Medical Center of Trinity,9330 State Road 54,Trinity,FL,34655,C
NORTHSIDE HOSPITAL,6000 49TH STREET N,SAINT PETERSBURG,FL,33709-2145,C
Mease Countryside Hospital,3231 McMullen-Booth Road,Safety Harbor,FL,34695-1098,A
REGIONAL MEDICAL CENTER BAYONET POINT,14000 FIVAY ROAD,HUDSON,FL,34667-7199,C
St. Petersburg General Hospital,6500 38th Avenue North,St. Petersburg,FL,33710-1629,C
Palms of Pasadena Hospital,1501 Pasadena Avenue,Saint Petersburg,FL,33707-3798,C
Morton Plant North Bay Hospital,6600 Madison Street,New Port Richey,FL,34652-1900,B
Florida Hospital North Pinellas,1395 South Pinellas Avenue,Tarpon Springs,FL,34689-3721,A
Mease Dunedin Hospital,601 Main Street,Dunedin,FL,34698-5891,A
LARGO MEDICAL CENTER,201 14TH ST SW,LARGO,FL,33770-3133,B
Morton Plant Hospital,300 Pinellas Street,Clearwater,FL,33756-3825,C
Largo Medical Center - Indian Rocks,2025 Indian Rocks Road,Largo,FL,33774-1096,C
Lake City Medical Center,340 NW Commerce Drive,Lake City,FL,32055-3718,B
Capital Regional Medical Center,2626 Capital Medical Blvd.,Tallahassee,FL,32308-4499,B
Tallahassee Memorial Healthcare,1300 Miccosukee Road,Tallahassee,FL,32308-5093,C
Sacred Heart Hospital on the Gulf,3801 East Highway 98,Port Saint Joe,FL,32456,A
Jackson Hospital,4250 Hospital Drive,Marianna,FL,32446-1939,B
Gulf Coast Regional Medical Center,449 W 23rd Street,Panama City,FL,32405-4593,B
Sacred Heart Hospital On The Emerald Coast,7800 US Highway 98 West,Miramar Beach,FL,32550,A
Twin Cities Hospital,2190 HIGHWAY 85 NORTH,Niceville,FL,32578-1045,A
North Okaloosa Medical Center,151 E. Redstone Ave,Crestview,FL,32539-6026,C
Fort Walton Beach Medical Center,1000 Mar Walt Drive,Fort Walton Beach,FL,32547-6795,A
Santa Rosa Medical Center,6002 Berryhill Road,Milton,FL,32570-4028,B
Gulf Breeze Hospital,1110 Gulf Breeze Parkway,Gulf Breeze,FL,32561,B
Sacred Heart Hospital Pensacola,5151 N Ninth Ave,Pensacola,FL,32504-8795,C
West Florida Hospital,8383 N DAVIS HIGHWAY,Pensacola,FL,32514-6088,A
Baptist Hospital,1000 West Moreno,Pensacola,FL,32501-2393,C
Memorial University Medical Center,4700 Waters Avenue,Savannah,GA,31404,C
Candler Hospital,5353 Reynolds Street,Savannah,GA,31405-6013,C
