,Address,City,Name,Rating,State,ZipCode
3075,4610 NE 77th Ave,Vancouver,Passport Health,2.5,WA,98662
3076,9430 NE Vancouver Mall Dr,Vancouver,Man Alive,5.0,WA,98662
3077,135 Main St,San Francisco,MGA Healthcare,2.5,CA,94105
3078,100 Montgomery St,San Francisco,Ageless Men's Health,5.0,CA,94104
3079,,San Francisco,"Sue Kim, MD",4.0,CA,94104
3080,185 Berry St,San Francisco,UCSF Imaging Center at China Basin,4.0,CA,94107
3081,153 Townsend St,San Francisco,Brown and Toland Medical Group,2.0,CA,94107
3082,49 Drumm St,San Francisco,Drumm Medical Center,2.0,CA,94111
3083,425 Market St,San Francisco,United Healthcare Services,1.0,CA,94105
3084,655 Montgomery St,San Francisco,Cenegenics,5.0,CA,94111
3085,139 Townsend St,San Francisco,Golden Gate Urology,1.5,CA,94107
3086,111 New Montgomery St,San Francisco,Scan 3D 4D Imaging,1.0,CA,94105
3087,1 Embarcadero Center,San Francisco,Aetna,1.0,CA,94111
3088,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3089,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3090,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3091,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3092,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3093,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3094,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3095,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3096,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3097,870 Market St,San Francisco,Optimus Medical Group,4.5,CA,94102
3098,100 Montgomery St,San Francisco,Ageless Men's Health,5.0,CA,94104
3099,135 Main St,San Francisco,MGA Healthcare,2.5,CA,94105
3100,,San Francisco,"Sue Kim, MD",4.0,CA,94104
3101,1520 Stockton St,San Francisco,North East Medical Services,2.5,CA,94133
3102,49 Drumm St,San Francisco,Drumm Medical Center,2.0,CA,94111
3103,655 Montgomery St,San Francisco,Cenegenics,5.0,CA,94111
3104,450 Sutter St,San Francisco,Reve Sleep,5.0,CA,94108
3105,1 Embarcadero Center,San Francisco,Aetna,1.0,CA,94111
3106,425 Market St,San Francisco,United Healthcare Services,1.0,CA,94105
3107,728 Pacific Avenue,San Francisco,Pacific Avenue Medical Laboratory,4.0,CA,94133
3108,555 Front St,San Francisco,Pain Medicine Consultants,1.0,CA,94111
3109,111 New Montgomery St,San Francisco,Scan 3D 4D Imaging,1.0,CA,94105
3110,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3111,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3112,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3113,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3114,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3115,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3116,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3117,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3118,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3119,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3120,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3121,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3122,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3123,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3124,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3125,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3126,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3127,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3128,3450 3rd St,San Francisco,Bayview Child Health Center,5.0,CA,94124
3129,2574 San Bruno Ave,San Francisco,North East Medical Services - Portola,3.0,CA,94134
3130,1050 Wisconsin St,San Francisco,Potrero Hill Health Center,2.5,CA,94107
3131,601 Cesar Chavez St,San Francisco,Rafiki Wellness,5.0,CA,94124
3132,1525 Silver Ave,San Francisco,Silver Avenue Family Health Center,2.5,CA,94134
3133,625 Potrero Ave,San Francisco,New Generation Health Center,4.0,CA,94110
3134,California Chiropractic Center,San Francisco,SOMA Healing Collective,1.5,CA,94107
3135,1647 Valencia Street,San Francisco,Valencia Health Services,4.0,CA,94110
3136,153 Townsend St,San Francisco,Brown and Toland Medical Group,2.0,CA,94107
3137,915 Bryant St,San Francisco,Fort Help Methadone Program,1.0,CA,94103
3138,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3139,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3140,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3141,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3142,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3143,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3144,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3145,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3146,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3147,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3148,4900 California St,San Francisco,San Francisco Free Clinic,4.0,CA,94118
3149,3700 California St,San Francisco,California Pacific Medical Center,4.0,CA,94118
3150,2568 Noriega St,San Francisco,Western & Eastern Medical Practice Center,5.0,CA,94122
3151,1800 31st Ave,San Francisco,Sunset Health Services,2.0,CA,94122
3152,1351 24th Ave,San Francisco,Ocean Park Health Center,2.5,CA,94122
3153,450 Stanyan St,San Francisco,St. Mary's Medical Center,3.0,CA,94117
3154,505 Parnassus Ave,San Francisco,UCSF Birthing Center,4.0,CA,94143
3155,University Of California,San Francisco,UCSF Medical Center,3.0,CA,94143
3156,1033 Clement St,San Francisco,Northeast Medical Services,3.0,CA,94118
3157,706 24th Ave,San Francisco,Blue Ribbon Dental Ceramics,1.0,CA,94121
3158,2308 Taraval St,San Francisco,North East Medical Services,3.0,CA,94116
3159,4141 Geary Blvd,San Francisco,Kaiser Permanente French Campus Pharmacy,3.5,CA,94118
3160,3370 Geary Blvd,San Francisco,Golden Gate Endoscopy Center,3.5,CA,94118
3161,3801 Sacramento St,San Francisco,SPMF Travel Clinic,4.0,CA,94118
3162,1 Shrader St,San Francisco,Mercy Doctors Medical Group,3.0,CA,94117
3163,4131 Geary Blvd,San Francisco,Kaiser Clinic Laboratory,5.0,CA,94118
3164,3838 California Street,San Francisco,San Francisco Women's Healthcare,2.5,CA,94118
3165,400 Parnassus Ave,San Francisco,UCSF Hematology - Adult Blood And Marrow Transplant Practice,5.0,CA,94143
3166,3698 California St,San Francisco,Breast Health Center at CPMC,4.0,CA,94118
3167,1600 Holloway Ave,San Francisco,San Francisco State University Student Health Clinic,4.5,CA,94199
3168,3838 California St,San Francisco,San Francisco Surgical Medical Group,3.5,CA,94118
3169,400 Parnassus Ave,San Francisco,UCSF Spine Center,2.5,CA,94143
3170,1 Shrader St,San Francisco,St Mary's Spine Center,2.5,CA,94117
3171,450 Stanyan St,San Francisco,PROS Center,4.5,CA,94117
3172,St. Mary's Medical Center,San Francisco,USF Student Health Clinic,2.0,CA,94118
3173,400 Parnassus Ave,San Francisco,UCSF Internal Medicine Clinic,2.5,CA,94122
3174,525 Spruce St,San Francisco,Peled Migraine Surgery,5.0,CA,94118
3175,4141 Geary Blvd 1st Fl,San Francisco,Kaiser Permanente Medical Group,3.0,CA,94118
3176,Langley Porter Building,San Francisco,UCSF Genomics Core Facility,5.0,CA,94143
3177,380 W Portal Ave,San Francisco,San Francisco Preventative Medical Group,3.5,CA,94127
3178,4141 Geary Boulevard,San Francisco,Kaiser Permanente Chronic Pain Clinic,3.0,CA,94118
3179,38 Caledonia St,Sausalito,Marin Oriental Medicine,5.0,CA,94965
3180,400 Parnassus Ave,San Francisco,UCSF Epilepsy Center,3.5,CA,94143
3181,Cherry St & Sacramento St,San Francisco,California Pacific Medical Center Amphitheatre,3.0,CA,94118
3182,505 Parnassus Ave,San Francisco,Ucsf Kidney Transplant Faculty Practice,3.0,CA,94143
3183,3838 California St,San Francisco,Sutter Pacific Medical Foundation,1.0,CA,94118
3184,350 Parnassus Ave,San Francisco,Unilab Quest Diagnostics,4.0,CA,94117
3185,156 Broad St,San Francisco,OMI Family Resource Center,5.0,CA,94112
3186,2645 Ocean Ave,San Francisco,Westcliff Medical Laboratories,3.0,CA,94132
3187,3698 California St,San Francisco,Irene Swindells Center For Adult Day Services,3.5,CA,94118
3188,111 Second St,Sausalito,Soluna Health,2.5,CA,94965
3189,2622 Ocean Ave,San Francisco,LabCorp,2.0,CA,94132
3190,350 Parnassus Ave,San Francisco,360: The Positive Care Center at UCSF,1.0,CA,94143
3191,2235 Hayes St,San Francisco,St. Mary Phillipa Health Center,1.0,CA,94117
3192,505 Parnassus Ave,San Francisco,UCSF Medical Center,1.0,CA,94143
3193,362 W Portal Ave,San Francisco,C-Dental X-Ray,3.5,CA,94127
3194,"University of California, San Francisco",San Francisco,Willed Body Program,5.0,CA,94143
3195,3001 Bridgeway,Sausalito,Peggy Knight Solutions,1.0,CA,94965
3196,2501 Ocean Ave,San Francisco,Lakeside Senior Medical Center,2.5,CA,94132
3197,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3198,1600 Owens St,San Francisco,Kaiser Permanente San Francisco Mission Bay Medical Offices,2.5,CA,94158
3199,1500 Owens St,San Francisco,UCSF Orthopaedic Institute,3.0,CA,94158
3200,185 Berry St,San Francisco,UCSF Imaging Center at China Basin,4.0,CA,94107
3201,499 Illinois St,San Francisco,UCSF Center For Reproductive Health,5.0,CA,94158
3202,1500 Owens St,San Francisco,UCSF OBGYN,3.0,CA,94158
3203,153 Townsend St,San Francisco,Brown and Toland Medical Group,2.0,CA,94107
3204,Gila Regional Medical Center,Silver City,Billy Casper Wellness Center,1.5,CA,88061
3205,139 Townsend St,San Francisco,Golden Gate Urology,1.5,CA,94107
3206,California Chiropractic Center,San Francisco,SOMA Healing Collective,1.5,CA,94107
3207,915 Bryant St,San Francisco,Fort Help Methadone Program,1.0,CA,94103
3208,3700 California St,San Francisco,California Pacific Medical Center,4.0,CA,94118
3209,450 Stanyan St,San Francisco,St. Mary's Medical Center,3.0,CA,94117
3210,1600 Divisadero St,San Francisco,UCSF Medical Center at Mount Zion,3.0,CA,94115
3211,3370 Geary Blvd,San Francisco,Golden Gate Endoscopy Center,3.5,CA,94118
3212,2425 Geary Blvd,San Francisco,Kaiser Permanente San Francisco Medical Center and Offices,3.0,CA,94115
3213,3468 California St,San Francisco,San Francisco Endoscopy Center,4.5,CA,94118
3214,1 Shrader St,San Francisco,Mercy Doctors Medical Group,3.0,CA,94117
3215,1 Shrader St,San Francisco,St Mary's Spine Center,2.5,CA,94117
3216,3000 California St,San Francisco,Pacific Heights Surgery Center,4.0,CA,94115
3217,450 Stanyan St,San Francisco,PROS Center,4.5,CA,94117
3218,3698 California St,San Francisco,Breast Health Center at CPMC,4.0,CA,94118
3219,2233 Post St,San Francisco,LabCorp,3.0,CA,94115
3220,2356 Sutter St,San Francisco,UCSF Center For Reproductive Health,3.5,CA,94115
3221,3838 California Street,San Francisco,San Francisco Women's Healthcare,2.5,CA,94118
3222,2241 Geary Blvd,San Francisco,Kaiser Permanente Health Education and Nutrition Clinic,3.5,CA,94115
3223,1701 Divisadero Street,San Francisco,Dr. Kanade Shinkai- UCSF Dermatology,3.5,CA,94115
3224,2425 Geary Blvd,San Francisco,Kaiser Permanente Nuclear Medicine,4.0,CA,94115
3225,3838 California St,San Francisco,San Francisco Surgical Medical Group,3.5,CA,94118
3226,2330 Post St,San Francisco,Headache Center at the UCSF Medical Center,2.5,CA,94115
3227,2330 Post St,San Francisco,Laboratory Medicine Mt. Zion,3.0,CA,94115
3228,2380 Sutter St,San Francisco,UCSF Otolaryngology - Head & Neck Surgery,2.5,CA,94115
3229,2255 Post St,San Francisco,UCSF Medical Center at Mount Zion,4.0,CA,94115
3230,2235 Hayes St,San Francisco,St. Mary Phillipa Health Center,1.0,CA,94117
3231,3838 California St,San Francisco,Sutter Pacific Medical Foundation,1.0,CA,94118
3232,Cherry St & Sacramento St,San Francisco,California Pacific Medical Center Amphitheatre,3.0,CA,94118
3233,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3234,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3235,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3236,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3237,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3238,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3239,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3240,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3241,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3242,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3243,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3244,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3245,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3246,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3247,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3248,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3249,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3250,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3251,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3252,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3253,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3254,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3255,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3256,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3257,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3258,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3259,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3260,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3261,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3262,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3263,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3264,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3265,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3266,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3267,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3268,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3269,1222 Sutter St,San Francisco,CannaMed Care Center,4.5,CA,94109
3270,909 Hyde St,San Francisco,"Randall B Weil, MD, FACS",4.5,CA,94109
3271,1388 Sutter St,San Francisco,Prevent Blindness Northern California,4.5,CA,94109
3272,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3273,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3274,2351 Clay St,San Francisco,Paul May & Frank Stein Interventional Endoscopy Center,4.5,CA,94115
3275,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3276,900 Hyde Street,San Francisco,Franciscan Treatment Room,5.0,CA,94109
3277,2351 Clay St,San Francisco,CPMC Pacific Campus Stanford Building MRI Center,4.0,CA,94115
3278,St Francis Memorial Hospital,San Francisco,Dr Remy Ardizzone,3.5,CA,94109
3279,5070 Mission St,San Francisco,Alpha Pregnancy Center,5.0,CA,94112
3280,4877 Mission St,San Francisco,Clinic By the Bay,5.0,CA,94112
3281,156 Broad St,San Francisco,OMI Family Resource Center,5.0,CA,94112
3282,4598 Mission St,San Francisco,Dignity Health-GoHealth Urgent Care - Excelsior,5.0,CA,94112
3283,6181 Mission St,Daly City,Asian American Recovery Services,5.0,CA,94014
3284,1600 Holloway Ave,San Francisco,San Francisco State University Student Health Clinic,4.5,CA,94199
3285,1650 Valencia St,San Francisco,Planned Parenthood - San Francisco Health Center,3.5,CA,94110
3286,2574 San Bruno Ave,San Francisco,North East Medical Services - Portola,3.0,CA,94134
3287,2645 Ocean Ave,San Francisco,Westcliff Medical Laboratories,3.0,CA,94132
3288,2622 Ocean Ave,San Francisco,LabCorp,2.0,CA,94132
3289,362 W Portal Ave,San Francisco,C-Dental X-Ray,3.5,CA,94127
3290,2171 Junipero Serra Blvd,Daly City,NMCI Medical Clinic,3.0,CA,94014
3291,2401 Keith St,San Francisco,Southeast Health Center,3.5,CA,94124
3292,2601 Mission St,San Francisco,Charlotte Maxwell Complementary Clinic,5.0,CA,94110
3293,2308 Taraval St,San Francisco,North East Medical Services,3.0,CA,94116
3294,,San Francisco,"Sue Kim, MD",2.5,CA,94114
3295,455 Hickey Blvd,Daly City,SpineCare Medical Group,5.0,CA,94015
3296,93 Skyline Plz,Daly City,Daly City Health Services,3.0,CA,94015
3297,1050 Wisconsin St,San Francisco,Potrero Hill Health Center,2.5,CA,94107
3298,2568 Noriega St,San Francisco,Western & Eastern Medical Practice Center,5.0,CA,94122
3299,Seton Medical Ctr,Daly City,Clinic Lab and Pathology Dept,5.0,CA,94015
3300,45 Castro St,San Francisco,Davies Medical Center,3.5,CA,94114
3301,3850 17th St,San Francisco,Castro Mission Health Center,2.5,CA,94114
3302,Davies Campus,San Francisco,CPMC Occupational and Hand Therapy,4.0,CA,94114
3303,148 Noe St,San Francisco,Lab Corp,2.5,CA,94114
3304,45 Castro St,San Francisco,California Pacific Medical Center Davies Campus,3.0,CA,94114
3305,45 Castro St,San Francisco,California Pacific Medical Center,2.5,CA,94114
3306,45 Castro St,San Francisco,Plastic Surgery Institute of San Francisco,2.5,CA,94114
3307,,San Francisco,"Sue Kim, MD",2.5,CA,94114
3308,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3309,45 Castro St,San Francisco,Davies Medical Center,3.5,CA,94114
3310,450 Stanyan St,San Francisco,St. Mary's Medical Center,3.0,CA,94117
3311,Davies Campus,San Francisco,CPMC Laboratory,4.0,CA,94114
3312,Davies Campus,San Francisco,CPMC Occupational and Hand Therapy,4.0,CA,94114
3313,45 Castro St,San Francisco,California Pacific Medical Center Davies Campus,3.0,CA,94114
3314,148 Noe St,San Francisco,Lab Corp,2.5,CA,94114
3315,3850 17th St,San Francisco,Castro Mission Health Center,2.5,CA,94114
3316,1 Shrader St,San Francisco,Mercy Doctors Medical Group,3.0,CA,94117
3317,1 Shrader St,San Francisco,St Mary's Spine Center,2.5,CA,94117
3318,45 Castro St,San Francisco,California Pacific Medical Center,2.5,CA,94114
3319,450 Stanyan St,San Francisco,PROS Center,4.5,CA,94117
3320,1477 Grove St,San Francisco,Grove Street Extended Care And Living Center,2.5,CA,94117
3321,45 Castro St,San Francisco,Plastic Surgery Institute of San Francisco,2.5,CA,94114
3322,930 Cole St,San Francisco,Dignity Health-GoHealth Urgent Care - Cole Valley,5.0,CA,94117
3323,2235 Hayes St,San Francisco,St. Mary Phillipa Health Center,1.0,CA,94117
3324,350 Parnassus Ave,San Francisco,Unilab Quest Diagnostics,4.0,CA,94117
3325,1201 Fillmore St,San Francisco,Kaiser Permanente Services,4.0,CA,94115
3326,4900 California St,San Francisco,San Francisco Free Clinic,4.0,CA,94118
3327,706 24th Ave,San Francisco,Blue Ribbon Dental Ceramics,1.0,CA,94121
3328,1033 Clement St,San Francisco,Northeast Medical Services,3.0,CA,94118
3329,3700 California St,San Francisco,California Pacific Medical Center,4.0,CA,94118
3330,1351 24th Ave,San Francisco,Ocean Park Health Center,2.5,CA,94122
3331,4141 Geary Blvd,San Francisco,Kaiser Permanente French Campus Pharmacy,3.5,CA,94118
3332,1800 31st Ave,San Francisco,Sunset Health Services,2.0,CA,94122
3333,505 Parnassus Ave,San Francisco,UCSF Birthing Center,4.0,CA,94143
3334,University Of California,San Francisco,UCSF Medical Center,3.0,CA,94143
3335,4131 Geary Blvd,San Francisco,Kaiser Clinic Laboratory,5.0,CA,94118
3336,4141 Geary Boulevard,San Francisco,Kaiser Permanente Chronic Pain Clinic,3.0,CA,94118
3337,3838 California Street,San Francisco,San Francisco Women's Healthcare,2.5,CA,94118
3338,1 Shrader St,San Francisco,St Mary's Spine Center,2.5,CA,94117
3339,3838 California St,San Francisco,Sutter Pacific Medical Foundation,1.0,CA,94118
3340,Cherry St & Sacramento St,San Francisco,California Pacific Medical Center Amphitheatre,3.0,CA,94118
3341,400 Parnassus Ave,San Francisco,UCSF Epilepsy Center,3.5,CA,94143
3342,3000 California St,San Francisco,Pacific Heights Surgery Center,4.0,CA,94115
3343,350 Parnassus Ave,San Francisco,Unilab Quest Diagnostics,4.0,CA,94117
3344,2235 Hayes St,San Francisco,St. Mary Phillipa Health Center,1.0,CA,94117
3345,505 Parnassus Ave,San Francisco,UCSF Medical Center,1.0,CA,94143
3346,350 Parnassus Ave,San Francisco,360: The Positive Care Center at UCSF,1.0,CA,94143
3347,380 W Portal Ave,San Francisco,San Francisco Preventative Medical Group,3.5,CA,94127
3348,362 W Portal Ave,San Francisco,C-Dental X-Ray,3.5,CA,94127
3349,2645 Ocean Ave,San Francisco,Westcliff Medical Laboratories,3.0,CA,94132
3350,2622 Ocean Ave,San Francisco,LabCorp,2.0,CA,94132
3351,156 Broad St,San Francisco,OMI Family Resource Center,5.0,CA,94112
3352,400 Parnassus Ave,San Francisco,UCSF Spine Center,2.5,CA,94143
3353,4598 Mission St,San Francisco,Dignity Health-GoHealth Urgent Care - Excelsior,5.0,CA,94112
3354,6181 Mission St,Daly City,Asian American Recovery Services,5.0,CA,94014
3355,505 Parnassus Ave,San Francisco,Ucsf Kidney Transplant Faculty Practice,3.0,CA,94143
3356,1734 Mission St,San Francisco,Rock Medicine,5.0,CA,94117
3357,148 Noe St,San Francisco,Lab Corp,2.5,CA,94114
3358,930 Cole St,San Francisco,Dignity Health-GoHealth Urgent Care - Cole Valley,5.0,CA,94117
3359,1640 Valencia St,San Francisco,St Luke's Pediatric Center,2.5,CA,94110
3360,100 Church St,San Francisco,AIDS Healthcare Foundation,2.5,CA,94114
3361,1932 Mission St,San Francisco,City Green MD,5.0,CA,94105
3362,706 24th Ave,San Francisco,Blue Ribbon Dental Ceramics,1.0,CA,94121
3363,1275 Harrison St,San Francisco,Salvation Army Harbor Light Center,3.5,CA,94103
3364,1380 Howard St,San Francisco,OBOT Buprenorphine Induction Clinic,5.0,CA,94103
3365,2401 Keith St,San Francisco,Southeast Health Center,3.5,CA,94124
3366,2574 San Bruno Ave,San Francisco,North East Medical Services - Portola,3.0,CA,94134
3367,1525 Silver Ave,San Francisco,Silver Avenue Family Health Center,2.5,CA,94134
3368,5070 Mission St,San Francisco,Alpha Pregnancy Center,5.0,CA,94112
3369,4598 Mission St,San Francisco,Dignity Health-GoHealth Urgent Care - Excelsior,5.0,CA,94112
3370,4877 Mission St,San Francisco,Clinic By the Bay,5.0,CA,94112
3371,1647 Valencia Street,San Francisco,Valencia Health Services,4.0,CA,94110
3372,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3373,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3374,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3375,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3376,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3377,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3378,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3379,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3380,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3381,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3382,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3383,730 Polk St,San Francisco,Asian & Pacific Islander Wellness Center,5.0,CA,94109
3384,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
3385,601 Van Ness Avenue,San Francisco,Kaiser Permanente Medical Center San Francisco,2.5,CA,94102
3386,One Daniel Burnham Ct,San Francisco,"Melinda Scully, MD",5.0,CA,94109
3387,1 Daniel Burnham Ct,San Francisco,UCSF Medical Center,4.5,CA,94109
3388,,San Francisco,San Francisco General Hospital Medical Center,5.0,CA,94102
3389,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
3390,2300 California Street,San Francisco,California Pacific Medical Center,1.5,CA,94115
3391,336 W Black Butte Blvd,Redmond,The Ross Clinic,5.0,OR,97756
3392,1501 NE Medical Center Dr,Bend,Bend Memorial Clinic,3.5,OR,97701
3393,1253 NW Canal Blvd,Redmond,St Charles Medical Center-Redmond,5.0,OR,97756
3394,1302 NE 3rd St,Bend,Mountain Medical Immediate Care,4.5,OR,97701
3395,865 SW Veterans Way,Redmond,Bend Memorial Clinic,1.0,OR,97756
3396,2088 NE Kim Ln,Bend,St Charles Medical Center - Bend,5.0,OR,97701
3397,1501 NE Medical Ctr Dr,Bend,Bend Memorial Clinic,2.5,OR,97701
3398,2084 NE Professional Ct.,Bend,Mosaic Medical,2.5,OR,97701
3399,61535 S Hwy 97,Bend,Coffman Vision Clinic,5.0,OR,97702
3400,464 NE Norton Ave,Bend,Center For Integrative Medicine,5.0,OR,97701
3401,1734 Mission St,San Francisco,Rock Medicine,5.0,CA,94117
3402,1748 Market St,San Francisco,Lyon Martin Health Services,4.0,CA,94102
3403,45 Castro St,San Francisco,Davies Medical Center,3.5,CA,94114
3404,1930 Market St,San Francisco,UCSF Alliance Health Project,4.0,CA,94102
3405,Davies Campus,San Francisco,CPMC Laboratory,4.0,CA,94114
3406,101 Grove St,San Francisco,AITC Immunization & Travel Clinic,4.5,CA,94102
3407,Davies Campus,San Francisco,CPMC Occupational and Hand Therapy,4.0,CA,94114
3408,1372 Mission St,San Francisco,St. James Infirmary,5.0,CA,94103
3409,148 Noe St,San Francisco,Lab Corp,2.5,CA,94114
3410,3850 17th St,San Francisco,Castro Mission Health Center,2.5,CA,94114
3411,45 Castro St,San Francisco,California Pacific Medical Center Davies Campus,3.0,CA,94114
3412,50 Lech Walesa St,San Francisco,Tom Waddell Health Center,3.0,CA,94102
